,نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
1320,أرض,سكني,الرياض, حي حطين ,شمالية,910,6500.0,5915000
1321,أرض,تجاري,الرياض, حي ظهرة لبن ,شمالية,930,2500.0,2325000
1323,أرض,تجاري,الرياض, حي ظهرة لبن ,غربية,900,2222.0,1999800
1324,أرض,تجاري,الرياض, حي النرجس ,شمالية,916,3820.0,3499120
1326,أرض,تجاري,الرياض, الرياض ,شمالية,375,2300.0,862500
1327,أرض,تجاري,الرياض, الرياض ,شمالية غربية,736,2300.0,1692800
1328,أرض,تجاري,الرياض, الرياض ,جنوبية شرقية,235,1063.0,249805
1329,أرض,تجاري,الرياض, حي الملك فيصل ,شمالية شرقية,900,4500.0,4050000
1331,أرض,تجاري وسكني,الرياض, حي الروضة ,غربية,660,4500.0,2970000
1332,أرض,تجاري وسكني,الرياض, حي الروضة ,جنوبية,525,1300.0,682500
1333,أرض,تجاري وسكني,الرياض, الرياض ,شمالية شرقية,900,1300.0,1170000
1334,أرض,تجاري وسكني,الرياض, الرياض ,جنوبية,525,1400.0,735000
1335,أرض,تجاري وسكني,الرياض, الرياض ,غربية,750,1400.0,1050000
1336,أرض,سكني,الرياض, الرياض ,جنوبية,780,1283.0,1000740
1337,أرض,سكني,الرياض, الرياض ,شرقية,430,3300.0,1419000
1338,أرض,سكني,الرياض, الرياض ,جنوبية,780,1415.0,1103700
1339,أرض,سكني,الرياض, الرياض ,شمالية,780,1283.0,1000740
1340,أرض,سكني,الرياض, حي عريض ,ثلاث شوارع,2500,3500.0,8750000
1341,أرض,سكني,الرياض, حي الغنامية ,شرقية,259,3500.0,906500
1342,أرض,سكني,الرياض, حي عريض ,جنوبية,2500,1280.0,3200000
1343,أرض,سكني,الرياض, حي المهدية ,شمالية,536,1280.0,686080
1344,أرض,سكني,الرياض, حي الغنامية ,جنوبية,420,1280.0,537600
1345,أرض,سكني,الرياض, حي الزهرة ,جنوبية,500,2000.0,1000000
1346,أرض,سكني,الرياض, الرياض ,شمالية غربية,750,4000.0,3000000
1347,أرض,سكني,الرياض, حي المهدية ,شمالية,451,2200.0,992200
1348,أرض,سكني,الرياض, الرياض ,شمالية شرقية,750,4000.0,3000000
1349,أرض,سكني,الرياض, حي المغرزات ,شرقية,713,4000.0,2852000
1350,أرض,سكني,الرياض, حي الربوة ,جنوبية غربية,350,4600.0,1610000
1351,أرض,سكني,الرياض, حي عريض ,شرقية,434,1250.0,542500
1354,أرض,سكني,الرياض, حي ظهرة لبن ,شرقية,452,2500.0,1130000
1357,أرض,سكني,الرياض, الرياض ,شمالية,750,3333.0,2499750
1358,أرض,سكني,الرياض, حي عكاظ ,جنوبية,405,1400.0,567000
1359,أرض,سكني,الرياض, حي الخير ,شرقية,422,1400.0,590800
1360,أرض,سكني,الرياض, حي ظهرة لبن ,شمالية,1200,1400.0,1680000
1362,أرض,سكني,الرياض, الرياض ,جنوبية,360,1370.0,493200
1363,أرض,سكني,الرياض, حي ضاحية نمار ,شمالية,887,1200.0,1064400
1364,أرض,سكني,الرياض, حي عكاظ ,شمالية شرقية,600,1200.0,720000
1365,أرض,سكني,الرياض, الرياض ,شرقية,405,1604.0,649620
1366,أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية غربية,1400,1604.0,2245600
1367,أرض,سكني,الرياض, حي الوزارات ,جنوبية غربية,1400,1604.0,2245600
1368,أرض,سكني,الرياض, حي الخير ,غربية,437,1717.0,750329
1369,أرض,سكني,الرياض, حي الخير ,غربية,745,671.0,499895
1370,أرض,سكني,الرياض, حي البرية ,شمالية,690,1000.0,690000
1371,أرض,سكني,الرياض, حي الخير ,شرقية,600,1000.0,600000
1373,أرض,سكني,الرياض, طريق النفود ,شمالية غربية,1050,2095.0,2199750
1374,أرض,سكني,الرياض, ضاحية نمار ,شرقية,864,1274.0,1100736
1376,أرض,سكني,الرياض, حي ضاحية نمار ,شرقية,864,1042.0,900288
1377,أرض,سكني,الرياض, العيينة ,شمالية,500,2500.0,1250000
1378,أرض,سكني,الرياض, حي النرجس ,شمالية,900,2500.0,2250000
1379,أرض,سكني,الرياض, الرياض ,شمالية,375,1280.0,480000
1380,أرض,سكني,الرياض, حي قرطبة ,غربية,450,1280.0,576000
1381,أرض,سكني,الرياض, حي ظهرة نمار ,شرقية,440,1900.0,836000
1382,أرض,سكني,الرياض, الرياض ,غربية,900,1900.0,1710000
1383,أرض,سكني,الرياض, حي المهدية ,شرقية,450,3444.0,1549800
1384,أرض,سكني,الرياض, حي النرجس ,شمالية,363,4800.0,1742400
1385,أرض,سكني,الرياض, حي القيروان ,غربية,559,5800.0,3242200
1386,أرض,سكني,الرياض, حي القيروان ,جنوبية شرقية,1373,5800.0,7963400
1387,أرض,سكني,الرياض, حي المشرق ,شرقية,1021,1000.0,1021000
1388,أرض,سكني,الرياض, حي المشرق ,جنوبية,450,5000.0,2250000
1389,أرض,سكني,الرياض, العيينة ,جنوبية,780,3250.0,2535000
1390,أرض,سكني,الرياض, العيينة ,جنوبية,825,3250.0,2681250
1391,أرض,سكني,الرياض, حي بدر ,شمالية شرقية,447,2000.0,894000
1392,أرض,سكني,الرياض, حي المهدية ,ثلاث شوارع,450,3111.0,1399950
1393,أرض,سكني,الرياض, حي الزاهر ,جنوبية غربية,1020,800.0,816000
1394,أرض,سكني,الرياض, حي الزاهر ,شرقية,450,900.0,405000
1396,أرض,سكني,الرياض, الرياض ,شمالية,437,1965.0,858705
1397,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,1080,6100.0,6588000
1398,أرض,سكني,الرياض, الرياض ,غربية,390,3300.0,1287000
1399,أرض,سكني,الرياض, الرياض ,شمالية,500,1720.0,860000
1400,أرض,سكني,الرياض, الرياض ,شرقية,810,802.0,649620
1401,أرض,سكني,الرياض, الرياض ,شمالية,736,1317.0,969312
1402,أرض,سكني,الرياض, الرياض ,شمالية,270,1317.0,355590
1403,أرض,سكني,الرياض, حي الخير ,شمالية غربية,960,2185.0,2097600
1404,أرض,سكني,الرياض, حي الخير ,شرقية,312,2185.0,681720
1405,أرض,سكني,الرياض, الرياض ,شمالية,450,666.0,299700
1406,أرض,سكني,الرياض, الرياض ,شرقية,750,2150.0,1612500
1407,أرض,سكني,الرياض, الرياض ,غربية,750,2000.0,1500000
1409,أرض,سكني,الرياض, حي النرجس ,غربية,412,4900.0,2018800
1410,أرض,سكني,الرياض, الرياض ,شرقية,418,4900.0,2048200
1413,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,600,1250.0,750000
1414,أرض,سكني,الرياض, الرياض ,جنوبية غربية,212,1250.0,265000
1415,أرض,سكني,الرياض, الرياض ,شرقية,900,1250.0,1125000
1416,أرض,سكني,الرياض, حي المهدية ,شرقية,450,2555.0,1149750
1417,أرض,سكني,الرياض, حي ظهرة لبن ,شمالية,1200,1667.0,2000400
1418,أرض,سكني,الرياض, حي خشم العان ,شرقية,416,1667.0,693472
1419,أرض,سكني,الرياض, الرياض ,جنوبية,393,1667.0,655131
1421,أرض,سكني,الرياض, حي الرمال ,ثلاث شوارع,2246,4000.0,8984000
1423,أرض,سكني,الرياض, حي الخير ,جنوبية غربية,705,1200.0,846000
1424,أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية,900,1222.0,1099800
1425,أرض,سكني,الرياض, حي الملقا ,جنوبية,1292,6695.0,8649940
1426,أرض,سكني,الرياض, حي السلام ,شمالية,350,3700.0,1295000
1427,أرض,سكني,الرياض, العيينة ,شمالية,937,2350.0,2201950
1428,أرض,سكني,الرياض, حي الندى ,شرقية,499,6300.0,3143700
1429,أرض,سكني,الرياض, حي النرجس ,غربية,810,4200.0,3402000
