,نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
1554,أرض,تجاري وسكني,الرياض, حي النرجس ,شرقية,318,4875.0,1550250
1555,أرض,تجاري وسكني,الرياض, حي عكاظ ,شمالية,794,4875.0,3870750
1556,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,غربية,450,4875.0,2193750
1557,أرض,تجاري وسكني,الرياض, حي المصيف ,غربية,675,4300.0,2902500
1558,أرض,تجاري وسكني,الرياض, الرياض ,غربية,750,4300.0,3225000
1559,أرض,تجاري وسكني,الرياض, الرياض ,جنوبية,864,4300.0,3715200
1560,أرض,تجاري وسكني,الرياض, حي المصفاة ,جنوبية شرقية,420,4300.0,1806000
1561,أرض,تجاري وسكني,الرياض, حي عريض ,شرقية,500,800.0,400000
1562,أرض,تجاري وسكني,الرياض, حي عريض ,غربية,600,800.0,480000
1563,أرض,تجاري وسكني,الرياض, الرياض ,شرقية,374,800.0,299200
1564,أرض,تجاري وسكني,الرياض, حي عريض ,غربية,500,1000.0,500000
1565,أرض,تجاري وسكني,الرياض, حي عريض ,شمالية,2205,1150.0,2535750
1567,أرض,سكني,الرياض, حي المهدية ,ثلاث شوارع,450,3130.0,1408500
1568,أرض,سكني,الرياض, حي المهدية ,جنوبية,2000,525.0,1050000
1569,أرض,سكني,الرياض, الرياض ,شرقية,300,525.0,157500
1570,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,500,525.0,262500
1572,أرض,سكني,الرياض, الرياض ,شمالية,459,2500.0,1147500
1573,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,900,950.0,855000
1574,أرض,سكني,الرياض, الرياض ,شمالية,770,8000.0,6160000
1575,أرض,تجاري وسكني,الرياض, حي القيروان ,ثلاث شوارع,880,7000.0,6160000
1576,أرض,سكني,الرياض, حي الوادي ,جنوبية غربية,270,6000.0,1620000
1577,أرض,سكني,الرياض, الرياض ,جنوبية,398,6000.0,2388000
1578,أرض,سكني,الرياض, حي عريض ,شمالية غربية,432,6000.0,2592000
1579,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,833,1500.0,1249500
1580,أرض,تجاري وسكني,الرياض, حي بدر ,جنوبية,960,1700.0,1632000
1581,أرض,تجاري وسكني,الرياض, حي الغنامية ,شرقية,160,625.0,100000
1582,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية,450,625.0,281250
1583,أرض,تجاري وسكني,الرياض, طريق النفود ,شمالية,400,625.0,250000
1584,أرض,تجاري وسكني,الرياض, حي المهدية ,ثلاث شوارع,450,3000.0,1350000
1586,أرض,تجاري وسكني,الرياض, حي عرقة ,شمالية شرقية,750,3000.0,2250000
1587,أرض,تجاري وسكني,الرياض, حي البرية ,شمالية,630,3000.0,1890000
1588,أرض,تجاري وسكني,الرياض, حي حطين ,شمالية,450,6500.0,2925000
1592,أرض,تجاري وسكني,الرياض, الرياض ,شمالية,360,535.0,192600
1593,أرض,تجاري وسكني,الرياض, حي الدار البيضاء ,جنوبية شرقية,500,1340.0,670000
1594,أرض,تجاري وسكني,الرياض, حي النرجس ,شمالية غربية,288,1340.0,385920
1595,أرض,تجاري وسكني,الرياض, الرياض ,جنوبية شرقية,235,1829.0,429815
1596,أرض,تجاري وسكني,الرياض, الرياض ,شمالية غربية,773,1829.0,1413817
1597,أرض,تجاري وسكني,الرياض, الرياض ,غربية,864,1829.0,1580256
1598,أرض,تجاري وسكني,الرياض, حي النرجس ,جنوبية,1050,1829.0,1920450
1599,أرض,تجاري وسكني,الرياض, حي النرجس ,جنوبية,480,4800.0,2304000
1600,أرض,تجاري وسكني,الرياض, الرياض ,غربية,500,4800.0,2400000
1601,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية شرقية,915,2732.0,2499780
1602,أرض,تجاري وسكني,الرياض, الرياض ,شمالية,840,1800.0,1512000
1603,أرض,سكني,الرياض, حي النرجس ,شمالية,800,5000.0,4000000
1604,أرض,سكني,الرياض, الرياض ,شمالية,800,5000.0,4000000
1605,أرض,سكني,الرياض, حي ضاحية نمار ,شمالية,437,1300.0,568100
1606,أرض,سكني,الرياض, الرياض ,غربية,400,575.0,230000
1607,أرض,سكني,الرياض, الرياض ,جنوبية,782,550.0,430100
1608,أرض,سكني,الرياض, حي المهدية ,شمالية,450,2444.0,1099800
1609,أرض,سكني,الرياض, حي المهدية ,غربية,399,5850.0,2334150
1610,أرض,سكني,الرياض, حي المهدية ,شمالية,745,510.0,379950
1611,أرض,سكني,الرياض, الرياض ,شرقية,375,1600.0,600000
1613,أرض,سكني,الرياض, حي الرمال ,جنوبية,782,1600.0,1251200
1614,أرض,سكني,الرياض, الرياض ,شمالية,375,1547.0,580125
1616,أرض,سكني,الرياض, الرياض ,جنوبية,312,801.0,249912
1617,أرض,سكني,الرياض, حي الشفا ,جنوبية,375,801.0,300375
1618,أرض,سكني,الرياض, حي البيان ,جنوبية,1213,801.0,971613
1620,أرض,سكني,الرياض, حي الجنادرية ,جنوبية,3260,3000.0,9780000
1621,أرض,سكني,الرياض, حي النرجس ,جنوبية,875,6175.0,5403125
1622,أرض,سكني,الرياض, الرياض ,جنوبية,750,1300.0,975000
1623,أرض,سكني,الرياض, حي النرجس ,جنوبية شرقية,333,6500.0,2164500
1624,أرض,سكني,الرياض, الرياض ,جنوبية غربية,356,1600.0,569600
1626,أرض,سكني,الرياض, حي اليرموك ,شرقية,1116,1880.0,2098080
1627,أرض,سكني,الرياض, حي اليرموك ,شمالية,600,2416.0,1449600
1628,أرض,سكني,الرياض, حي اليرموك ,شرقية,375,4500.0,1687500
1629,أرض,سكني,الرياض, حي ضاحية نمار ,شمالية,300,4500.0,1350000
1630,أرض,سكني,الرياض, حي المهدية ,جنوبية,403,4500.0,1813500
1631,أرض,سكني,الرياض, حي المهدية ,شمالية,900,4000.0,3600000
1632,أرض,سكني,الرياض, الرياض ,شمالية,450,4000.0,1800000
1633,أرض,سكني,الرياض, حي العليا ,غربية,250,5000.0,1250000
1635,أرض,سكني,الرياض, حي العليا ,جنوبية,900,5000.0,4500000
1636,أرض,سكني,الرياض, حي غرناطة ,شرقية,700,5000.0,3500000
1638,أرض,سكني,الرياض, حي القيروان ,جنوبية,599,6011.0,3600589
1639,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,978,1800.0,1760400
1640,أرض,سكني,الرياض, الرياض ,غربية,375,1800.0,675000
1641,أرض,سكني,الرياض, حي ضاحية نمار ,غربية,375,1800.0,675000
1642,أرض,سكني,الرياض, الرياض ,شرقية,359,1800.0,646200
1643,أرض,سكني,الرياض, حي اليرموك ,شرقية,750,3450.0,2587500
1644,أرض,سكني,الرياض, الرياض ,شمالية غربية,450,3450.0,1552500
1645,أرض,سكني,الرياض, الرياض ,جنوبية,765,3450.0,2639250
1646,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,490,4950.0,2425500
1647,أرض,سكني,الرياض, الرياض ,شمالية,375,1333.0,499875
1648,أرض,سكني,الرياض, الرياض ,جنوبية,805,1250.0,1006250
1649,أرض,سكني,الرياض, الرياض ,شرقية,375,1306.0,489750
1650,أرض,سكني,الرياض, الرياض ,شرقية,810,1400.0,1134000
1651,أرض,سكني,الرياض, حي طويق ,جنوبية,375,2255.0,845625
1652,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,759,1450.0,1100550
1653,أرض,سكني,الرياض, الرياض ,شمالية غربية,2338,1450.0,3390100
1654,أرض,سكني,الرياض, حي نمار,شمالية,300,1450.0,435000
1655,أرض,سكني,الرياض, حي نمار,جنوبية,623,1450.0,903350
1656,أرض,سكني,الرياض, حي السعادة ,جنوبية,623,1450.0,903350
1657,أرض,سكني,الرياض, حي السعادة ,جنوبية غربية,719,2000.0,1438000
1658,أرض,سكني,الرياض, حي السعادة ,جنوبية شرقية,670,4800.0,3216000
1659,أرض,سكني,الرياض, حي المهدية ,جنوبية,392,1400.0,548800
1660,أرض,سكني,الرياض, حي القادسية ,جنوبية,392,1400.0,548800
1661,أرض,سكني,الرياض, الرياض ,جنوبية,270,1400.0,378000
1662,أرض,سكني,الرياض, الرياض ,شرقية,2520,1800.0,4536000
1664,أرض,سكني,الرياض, ,شمالية,1440,2450.0,3528000
1665,أرض,سكني,الرياض, حي الرمال ,جنوبية,924,3750.0,3465000
1666,أرض,سكني,الرياض, حي الخير ,شرقية,4697,2880.0,13527360
1668,أرض,سكني,الرياض, حي الغنامية ,غربية,200,750.0,150000
1669,أرض,سكني,الرياض, حي حطين ,شمالية شرقية,1050,8572.0,9000600
1670,أرض,سكني,الرياض, الرياض ,شمالية شرقية,1050,8572.0,9000600
1671,أرض,سكني,الرياض, حي الروضة ,غربية,751,4000.0,3004000
1672,أرض,سكني,الرياض, حي الخير ,شرقية,375,4000.0,1500000
1673,أرض,سكني,الرياض, الرياض ,جنوبية,360,4000.0,1440000
1674,أرض,سكني,الرياض, حي عليشة ,جنوبية,232,4000.0,928000
1675,أرض,سكني,الرياض, حي العوالي ,شمالية,500,4000.0,2000000
1676,أرض,سكني,الرياض, الرياض ,شمالية,500,4000.0,2000000
1677,أرض,سكني,الرياض, الرياض ,جنوبية,383,704.0,269632
1678,أرض,سكني,الرياض, الرياض ,جنوبية,660,487.0,321420
1679,أرض,سكني,الرياض, الرياض ,جنوبية,400,1100.0,440000
1680,أرض,سكني,الرياض, حي المرسلات ,جنوبية,400,1100.0,440000
1681,أرض,سكني,الرياض, العيينة ,شمالية,630,1270.0,800100
1682,أرض,سكني,الرياض, العيينة ,شرقية,432,1350.0,583200
1683,أرض,سكني,الرياض, حي حطين ,شمالية,615,7317.0,4499955
1684,أرض,سكني,الرياض, حي الريان ,جنوبية شرقية,780,6000.0,4680000
1686,أرض,سكني,الرياض, الرياض ,غربية,750,466.0,349500
1687,أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية,900,466.0,419400
1688,أرض,سكني,الرياض, حي العليا ,جنوبية شرقية,580,466.0,270280
1689,أرض,سكني,الرياض, حي البرية ,غربية,378,1000.0,378000
1690,أرض,سكني,الرياض, حي الخير ,شرقية,750,1500.0,1125000
1691,أرض,سكني,الرياض, حي المروة ,غربية,1210,1500.0,1815000
1692,أرض,سكني,الرياض, الرياض ,شرقية,750,1550.0,1162500
1693,أرض,سكني,الرياض, الرياض ,جنوبية,625,1000.0,625000
1697,أرض,سكني,الرياض, حي بدر ,شرقية,809,1400.0,1132600
1698,أرض,سكني,الرياض, حي المصفاة ,شمالية شرقية,400,900.0,360000
1699,أرض,سكني,الرياض, الرياض ,جنوبية,750,386.0,289500
1700,أرض,سكني,الرياض, الرياض ,غربية,400,587.0,234800
1701,أرض,سكني,الرياض, حي الضباط ,شمالية,450,3000.0,1350000
1703,أرض,سكني,الرياض, الرياض ,غربية,745,442.0,329290
1704,أرض,سكني,الرياض, حي الحزم ,جنوبية,312,442.0,137904
1705,أرض,سكني,الرياض, حي المهدية ,جنوبية غربية,1639,442.0,724438
1706,أرض,سكني,الرياض, الرياض ,غربية,375,1500.0,562500
1707,أرض,سكني,الرياض, حي السلام ,غربية,375,4000.0,1500000
1709,أرض,سكني,الرياض, الرياض ,شرقية,294,4000.0,1176000
1710,أرض,سكني,الرياض, حي عريض ,شمالية غربية,625,4000.0,2500000
1712,أرض,سكني,الرياض, حي النرجس ,شمالية,435,5150.0,2240250
1713,أرض,سكني,الرياض, حي طويق ,شمالية,900,5150.0,4635000
1715,أرض,سكني,الرياض, الرياض ,جنوبية,420,1666.0,699720
1716,أرض,سكني,الرياض, الرياض ,غربية,750,1400.0,1050000
1717,أرض,سكني,الرياض, الرياض ,جنوبية,786,1017.0,799362
1718,أرض,سكني,الرياض, الرياض ,جنوبية,420,1017.0,427140
1719,أرض,سكني,الرياض, حي الروضة ,جنوبية,627,4200.0,2633400
1720,أرض,سكني,الرياض, حي المرسلات ,شمالية غربية,625,5500.0,3437500
1721,أرض,سكني,الرياض, الرياض ,شرقية,375,1550.0,581250
1722,أرض,سكني,الرياض, حي الرحمانية ,شمالية غربية,580,6000.0,3480000
1723,أرض,سكني,الرياض, الرياض ,شمالية شرقية,222,1810.0,401820
1724,أرض,سكني,الرياض, حي المهدية ,شمالية,400,3000.0,1200000
1725,أرض,سكني,الرياض, حي الرمال ,شمالية,36,2600.0,93600
1726,أرض,سكني,الرياض, الرياض ,ثلاث شوارع,500,2600.0,1300000
1727,أرض,تجاري وسكني,الرياض, حي المهدية ,جنوبية,400,3125.0,1250000
1728,أرض,تجاري وسكني,الرياض, حي الدار البيضاء ,شرقية,800,1300.0,1040000
1729,أرض,تجاري وسكني,الرياض, الرياض ,شمالية,799,1500.0,1198500
1730,أرض,تجاري وسكني,الرياض, الرياض ,غربية,308,5200.0,1601600
1731,أرض,تجاري وسكني,الرياض, الرياض ,غربية,437,5200.0,2272400
1732,أرض,تجاري وسكني,الرياض, حي عكاظ ,غربية,437,5200.0,2272400
1733,أرض,تجاري وسكني,الرياض, حي عكاظ ,شمالية غربية,2400,5200.0,12480000
1734,أرض,تجاري وسكني,الرياض, حي النرجس ,شمالية,351,4800.0,1684800
1735,أرض,تجاري وسكني,الرياض, حي نمار ,جنوبية غربية,1200,6500.0,7800000
1736,أرض,تجاري وسكني,الرياض, حي الرمال ,جنوبية غربية,1200,6500.0,7800000
1737,أرض,تجاري وسكني,الرياض, الرياض ,جنوبية,375,6500.0,2437500
1739,أرض,سكني,الرياض, الرياض ,جنوبية,207,1700.0,351900
1740,أرض,سكني,الرياض, حي النرجس ,جنوبية,450,1700.0,765000
1741,أرض,سكني,الرياض, حي النرجس ,شمالية,450,1700.0,765000
1743,أرض,سكني,الرياض, حي العارض ,شمالية,300,2555.0,766500
1744,أرض,سكني,الرياض, حي طويق ,شرقية,870,2555.0,2222850
1745,أرض,سكني,الرياض, الرياض ,جنوبية,989,2555.0,2526895
1746,أرض,سكني,الرياض, حي النرجس ,شمالية,450,2555.0,1149750
1747,أرض,سكني,الرياض, الرياض ,شمالية شرقية,200,950.0,190000
1748,أرض,سكني,الرياض, حي ظهرة لبن ,أربع شوارع,900,3000.0,2700000
1749,أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية,2100,523.0,1098300
1750,أرض,سكني,الرياض, حي منفوحة ,شرقية,328,1600.0,524800
1751,أرض,سكني,الرياض, حي النرجس ,جنوبية,450,1600.0,720000
1752,أرض,سكني,الرياض, حي النرجس ,جنوبية,825,390.0,321750
1753,أرض,سكني,الرياض, حي القادسية ,شرقية,234,3000.0,702000
1755,أرض,سكني,الرياض, الرياض ,شرقية,450,2666.0,1199700
1756,أرض,سكني,الرياض, حي الحزم ,شرقية,646,1476.0,953496
1757,أرض,سكني,الرياض, حي المهدية ,جنوبية,900,1476.0,1328400
1758,أرض,سكني,الرياض, حي المهدية ,غربية,750,1146.0,859500
1759,أرض,سكني,الرياض, حي الرمال ,جنوبية شرقية,1450,1146.0,1661700
1760,أرض,سكني,الرياض, الرياض ,جنوبية,400,1146.0,458400
1761,أرض,سكني,الرياض, العيينة ,شمالية,3903,2500.0,9757500
1762,أرض,سكني,الرياض, الرياض ,شمالية,450,611.0,274950
1763,أرض,سكني,الرياض, الرياض ,غربية,840,1785.0,1499400
1764,أرض,سكني,الرياض, حي عرقة ,ثلاث شوارع,1250,1785.0,2231250
1765,أرض,سكني,الرياض, حي عرقة ,شمالية شرقية,980,2100.0,2058000
1766,أرض,سكني,الرياض, الرياض ,جنوبية,375,2100.0,787500
1767,أرض,سكني,الرياض, الرياض ,جنوبية,900,670.0,603000
1768,أرض,سكني,الرياض, الرياض ,شمالية,200,5800.0,1160000
1769,أرض,سكني,الرياض, حي النرجس ,شمالية غربية,900,4500.0,4050000
1770,أرض,سكني,الرياض, الرياض ,جنوبية,375,4500.0,1687500
1771,أرض,سكني,الرياض, الرياض ,شمالية,2980,3000.0,8940000
1772,أرض,سكني,الرياض, حي العارض ,جنوبية,420,4100.0,1722000
1773,أرض,سكني,الرياض, حي الملقا ,شمالية,590,7200.0,4248000
1774,أرض,سكني,الرياض, حي المهدية ,جنوبية,384,7200.0,2764800
1775,أرض,سكني,الرياض, حي بدر ,جنوبية,1062,2050.0,2177100
1776,أرض,سكني,الرياض, الرياض ,جنوبية,400,1134.0,453600
1777,أرض,سكني,الرياض, الرياض ,جنوبية,400,1140.0,456000
1778,أرض,سكني,الرياض, حي المهدية ,جنوبية غربية,625,3500.0,2187500
1779,أرض,سكني,الرياض, حي طويق ,شمالية,450,1793.0,806850
1780,أرض,سكني,الرياض, القرينه ,غربية,630,1025.0,645750
1781,أرض,سكني,الرياض, الرياض ,شرقية,360,1375.0,495000
1782,أرض,سكني,الرياض, شارع سعيد بن عبدالله باقشير ,جنوبية غربية,625,4000.0,2500000
1783,أرض,سكني,الرياض, شارع سعيد بن عبدالله باقشير ,شرقية,465,1226.0,570090
1784,أرض,سكني,الرياض, الرياض ,شرقية,465,1226.0,570090
1785,أرض,سكني,الرياض, الرياض ,شرقية,2000,600.0,1200000
1786,أرض,سكني,الرياض, حي نمار ,جنوبية,472,1475.0,696200
1787,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,382,1600.0,611200
1788,أرض,سكني,الرياض, حي المهدية ,جنوبية,625,4500.0,2812500
1789,أرض,سكني,الرياض, حي النرجس ,شرقية,450,5800.0,2610000
1790,أرض,سكني,الرياض, الرياض ,شمالية شرقية,200,1150.0,230000
1791,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,406,1650.0,669900
1792,أرض,سكني,الرياض, الرياض ,جنوبية,400,1650.0,660000
1793,أرض,سكني,الرياض, الرياض ,ثلاث شوارع,2400,1650.0,3960000
1794,أرض,سكني,الرياض, الرياض ,جنوبية غربية,382,1650.0,630300
1796,أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية,400,3750.0,1500000
1797,أرض,سكني,الرياض, حي ظهرة لبن ,غربية,750,3750.0,2812500
1798,أرض,سكني,الرياض, الرياض ,جنوبية,367,1404.0,515268
1799,أرض,سكني,الرياض, الرياض ,شمالية,768,521.0,400128
1800,أرض,سكني,الرياض, حي البرية ,جنوبية,690,690.0,476100
1801,أرض,سكني,الرياض, حي عريض ,شمالية,400,690.0,276000
1802,أرض,سكني,الرياض, حي العوالي ,جنوبية,750,1867.0,1400250
1803,أرض,سكني,الرياض, الرياض ,شمالية,405,1867.0,756135
1804,أرض,سكني,الرياض, حي العارض ,جنوبية,390,4500.0,1755000
1805,أرض,سكني,الرياض, حي العارض ,جنوبية,996,2500.0,2490000
1806,أرض,سكني,الرياض, حي الرمال ,جنوبية,275,3050.0,838750
1808,أرض,سكني,الرياض, الرياض ,غربية,375,9000.0,3375000
1809,أرض,سكني,الرياض, ملهم ,جنوبية غربية,625,9000.0,5625000
1810,أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية,450,2222.0,999900
1811,أرض,سكني,الرياض, حي المصيف ,شرقية,329,4600.0,1513400
1812,أرض,سكني,الرياض, حي الياسمين ,شرقية,496,5500.0,2728000
1813,أرض,سكني,الرياض, حي طويق ,شرقية,496,5500.0,2728000
1814,أرض,سكني,الرياض, حي النهضة ,شمالية,875,3200.0,2800000
1815,أرض,سكني,الرياض, الرياض ,جنوبية,437,1487.0,649819
1816,أرض,سكني,الرياض, حي البرية ,جنوبية,437,1487.0,649819
1817,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,1050,900.0,945000
1818,أرض,سكني,الرياض, حي النرجس ,جنوبية شرقية,1050,900.0,945000
1819,أرض,سكني,الرياض, حي النرجس ,شمالية,225,5000.0,1125000
1820,أرض,سكني,الرياض, حي العارض ,شمالية,300,3666.0,1099800
1821,أرض,سكني,الرياض, الرياض ,غربية,455,1868.0,849940
1822,أرض,سكني,الرياض, حي العليا ,شمالية غربية,728,4500.0,3276000
1823,أرض,سكني,الرياض, الرياض ,شمالية غربية,500,940.0,470000
1824,أرض,سكني,الرياض, الرياض ,شرقية,216,810.0,174960
1825,أرض,سكني,الرياض, حي الضباط ,جنوبية,570,2700.0,1539000
1826,أرض,سكني,الرياض, الرياض ,جنوبية,900,733.0,659700
1827,أرض,سكني,الرياض, حي نمار ,غربية,231,1550.0,358050
1828,أرض,سكني,الرياض, حي المهدية ,غربية,450,2900.0,1305000
1829,أرض,سكني,الرياض, حي ضاحية نمار ,شمالية,889,1237.0,1099693
1833,أرض,سكني,الرياض, حي الخير ,شرقية,375,1480.0,555000
1834,أرض,سكني,الرياض, حي اشبيلية ,غربية,900,5555.0,4999500
1835,أرض,سكني,الرياض, حي الخير ,شرقية,375,1550.0,581250
1837,أرض,سكني,الرياض, حي اليرموك ,غربية,900,5555.0,4999500
1839,أرض,تجاري وسكني,الرياض, حي اليرموك ,غربية,900,5555.0,4999500
1840,أرض,سكني,الرياض, حي العارض ,غربية,450,4800.0,2160000
1841,أرض,سكني,الرياض, حي النرجس ,شمالية,300,5550.0,1665000
1842,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,شرقية,930,1750.0,1627500
1843,أرض,تجاري وسكني,الرياض, حي ديراب ,جنوبية,750,1200.0,900000
1844,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية,750,1200.0,900000
1845,أرض,تجاري,الرياض, حي العارض ,غربية,425,6500.0,2762500
1846,أرض,سكني,الرياض, حي العارض ,غربية,425,4900.0,2082500
1847,أرض,سكني,الرياض, حي العارض ,شرقية,900,4000.0,3600000
1848,أرض,سكني,الرياض, الرياض ,شمالية شرقية,667,4000.0,2668000
1849,أرض,سكني,الرياض, الرياض ,شمالية,667,1300.0,867100
1850,أرض,سكني,الرياض, حي الصحافة ,جنوبية,525,1300.0,682500
1851,أرض,سكني,الرياض, حي العارض ,جنوبية,686,5000.0,3430000
1852,أرض,سكني,الرياض, الرياض ,شمالية,379,1490.0,564710
1853,أرض,سكني,الرياض, الرياض ,شرقية,375,1750.0,656250
1854,أرض,سكني,الرياض, حي الخير ,شرقية,375,1570.0,588750
1855,أرض,سكني,الرياض, حي الغدير ,جنوبية غربية,1517,6700.0,10163900
1856,أرض,سكني,الرياض, حي نمار,شرقية,375,6700.0,2512500
1857,أرض,سكني,الرياض, الرياض ,غربية,750,466.0,349500
1858,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,غربية,400,2250.0,900000
1859,أرض,سكني,الرياض, الرياض ,غربية,900,667.0,600300
1860,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,1168,600.0,700800
1861,أرض,سكني,الرياض, الرياض ,جنوبية,325,2700.0,877500
1862,أرض,سكني,الرياض, الرياض ,غربية,750,1170.0,877500
1863,أرض,سكني,الرياض, حي المهدية ,غربية,750,1170.0,877500
1865,أرض,سكني,الرياض, حي الرحمانية ,جنوبية شرقية,875,6700.0,5862500
1866,أرض,تجاري,الرياض, حي القادسية ,شرقية,2512,2900.0,7284800
1867,أرض,تجاري,الرياض, حي الرمال ,جنوبية غربية,4060,3000.0,12180000
1868,أرض,تجاري,الرياض, الرياض ,جنوبية,900,800.0,720000
1869,أرض,تجاري,الرياض, حي الخير ,غربية,744,800.0,595200
1870,أرض,تجاري,الرياض, حي المهدية ,غربية,450,2700.0,1215000
1871,أرض,تجاري,الرياض, الرياض ,شمالية,375,1333.0,499875
1872,أرض,سكني,الرياض, الرياض ,جنوبية,750,2666.0,1999500
1873,أرض,سكني,الرياض, حي النهضة ,جنوبية,750,3200.0,2400000
1874,أرض,سكني,الرياض, الرياض ,شرقية,375,1450.0,543750
1875,أرض,سكني,الرياض, حي الحمراء ,شرقية,375,1450.0,543750
1876,أرض,سكني,الرياض, حي المنصورة ,جنوبية شرقية,1200,1450.0,1740000
1877,أرض,سكني,الرياض, حي المهدية ,شرقية,524,1450.0,759800
1878,أرض,سكني,الرياض, حي الخليج ,شمالية غربية,750,3600.0,2700000
1879,أرض,سكني,الرياض, الرياض ,شمالية,750,1133.0,849750
1880,أرض,سكني,الرياض, حي الخير ,شمالية,975,1133.0,1104675
1881,أرض,سكني,الرياض, حي الخليج ,غربية,750,3500.0,2625000
1883,أرض,سكني,الرياض, الرياض ,غربية,450,1500.0,675000
1884,أرض,سكني,الرياض, الرياض ,شرقية,375,1430.0,536250
1885,أرض,سكني,الرياض, حي الخير ,غربية,744,1430.0,1063920
1888,أرض,سكني,الرياض, الرياض ,شمالية غربية,1627,1450.0,2359150
1889,أرض,سكني,الرياض, حي عريض ,شمالية,900,1450.0,1305000
1891,أرض,سكني,الرياض, الرياض ,شرقية,375,1413.0,529875
1892,أرض,سكني,الرياض, حي الزاهر ,غربية,2000,1413.0,2826000
1893,أرض,سكني,الرياض, ضاحية نمار ,غربية,375,1333.0,499875
1894,أرض,سكني,الرياض, حي العارض ,شمالية,458,3900.0,1786200
1895,أرض,سكني,الرياض, حي ام سليم ,جنوبية شرقية,199,1800.0,358200
1899,أرض,سكني,الرياض, ضرما ,جنوبية شرقية,1157,691.0,799487
1900,أرض,تجاري وسكني,الرياض, حي المهدية ,شمالية,400,2800.0,1120000
1901,أرض,سكني,الرياض, حي المهدية ,شمالية,2570,850.0,2184500
1902,أرض,سكني,الرياض, حي المهدية ,جنوبية,320,2875.0,920000
1903,أرض,سكني,الرياض, حي المحمدية ,جنوبية,405,9000.0,3645000
1904,أرض,سكني,الرياض, الرياض ,شمالية,400,700.0,280000
1905,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,900,750.0,675000
1906,أرض,سكني,الرياض, الرياض ,جنوبية,750,1200.0,900000
1907,أرض,سكني,الرياض, حي الربيع ,غربية,375,6700.0,2512500
1908,أرض,سكني,الرياض, العيينة ,شمالية,630,2500.0,1575000
1909,أرض,تجاري وسكني,الرياض, حي العوالي ,جنوبية,900,2700.0,2430000
1910,أرض,تجاري,الرياض, حي النرجس ,شمالية غربية,732,8100.0,5929200
1912,أرض,سكني,الرياض, شارع العين ,جنوبية غربية,900,3333.0,2999700
1913,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,غربية,900,4000.0,3600000
1914,أرض,سكني,الرياض, حي عريض ,شمالية غربية,900,1450.0,1305000
1915,أرض,سكني,الرياض, حي النظيم ,شمالية,375,1550.0,581250
1916,أرض,سكني,الرياض, حي النظيم ,شمالية شرقية,918,708.0,649944
1917,أرض,سكني,الرياض, حي النظيم ,شمالية,750,1300.0,975000
1918,أرض,سكني,الرياض, حي النظيم ,جنوبية شرقية,750,2000.0,1500000
1919,أرض,سكني,الرياض, حي النظيم ,شرقية,750,1450.0,1087500
1920,أرض,سكني,الرياض, الرياض ,شمالية غربية,947,687.0,650589
1921,أرض,سكني,الرياض, الرياض ,غربية,550,1818.0,999900
1922,أرض,سكني,الرياض, الرياض ,شمالية,765,372.0,284580
1923,أرض,سكني,الرياض, الرياض ,غربية,900,611.0,549900
1924,أرض,سكني,الرياض, حي الملز ,غربية,900,611.0,549900
1925,أرض,تجاري وسكني,الرياض, حي المناخ ,شمالية شرقية,2927,1500.0,4390500
1926,أرض,سكني,الرياض, الرياض ,جنوبية,624,6000.0,3744000
1927,أرض,سكني,الرياض, حي ضاحية نمار ,جنوبية,624,6000.0,3744000
1928,أرض,سكني,الرياض, حي مطار الملك خالد الدولي ,شمالية غربية,411,4000.0,1644000
1929,أرض,سكني,الرياض, الرياض ,شرقية,450,711.0,319950
1930,أرض,سكني,الرياض, حي ضاحية نمار ,شمالية,720,958.0,689760
1931,أرض,سكني,الرياض, حي المهدية ,غربية,537,2500.0,1342500
1932,أرض,سكني,الرياض, حي الرمال ,جنوبية,390,3100.0,1209000
1934,أرض,سكني,الرياض, حي ظهرة لبن ,شمالية,400,2750.0,1100000
1935,أرض,سكني,الرياض, حي ضاحية نمار ,شرقية,1062,1000.0,1062000
1937,أرض,تجاري,الرياض, حي الخليج ,شرقية,1500,3200.0,4800000
