space,location,front,streetWidth,propertyAge,driverRoom,tent,patio,maidRoom,elevator,furnihsed,pool,basement,price
500,شرق الرياض,جنوبية,15.0,10,1,1,1,1,0,0,0,0,2200000.0
360,شرق الرياض,شرقية,15.0,0,1,1,1,1,0,0,0,0,1950000.0
312,شرق الرياض,جنوبية,16.0,0,0,0,1,1,0,0,0,1,1850000.0
300,غرب الرياض,شمالية,20.0,0,0,1,1,1,0,0,0,0,1200000.0
450,شمال الرياض,جنوبية شرقية,15.0,1,1,0,1,1,1,0,1,1,4500000.0
375,شرق الرياض,غربية,24.0,0,1,0,1,1,1,0,0,0,2050000.0
300,جنوب الرياض,شمالية,19.0,0,0,1,1,1,0,0,1,0,1070000.0
160,غرب الرياض,شمالية,35.0,0,0,0,0,0,0,0,0,0,560000.0
252,غرب الرياض,غربية,20.0,2,0,0,0,0,0,0,0,0,1000000.0
1200,غرب الرياض,شمالية غربية,30.0,0,0,1,1,1,0,0,0,0,6500000.0
300,جنوب الرياض,شرقية,22.0,0,0,0,1,1,0,0,0,0,1180000.0
600,شمال الرياض,شمالية غربية,15.0,0,1,0,1,1,0,0,0,0,3600000.0
200,غرب الرياض,شمالية,15.0,0,0,1,1,1,0,0,0,0,1100000.0
480,غرب الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,1350000.0
312,شمال الرياض,شمالية,15.0,0,1,0,0,0,1,0,0,0,2850000.0
250,شمال الرياض,شمالية,20.0,0,0,0,1,1,0,0,0,0,2250000.0
1200,غرب الرياض,شمالية غربية,30.0,0,0,1,1,1,0,0,0,0,6500000.0
250,شمال الرياض,شمالية,20.0,0,0,0,1,1,0,0,0,0,2250000.0
300,جنوب الرياض,شمالية,19.0,0,0,1,1,1,0,0,1,0,1070000.0
280,شرق الرياض,شمالية,15.0,0,0,1,1,1,0,0,0,0,1350000.0
294,جنوب الرياض,جنوبية,15.0,0,0,0,1,0,0,0,0,0,650000.0
215,جنوب الرياض,غربية,19.0,0,0,1,1,1,0,0,0,0,950000.0
570,شمال الرياض,جنوبية,20.0,0,1,0,0,1,1,0,0,0,4800000.0
250,شمال الرياض,شمالية,15.0,0,0,1,1,0,0,0,0,0,2000000.0
280,جنوب الرياض,شمالية,15.0,0,0,0,1,0,0,0,0,0,630000.0
280,شرق الرياض,شمالية,15.0,0,0,1,1,1,1,0,0,0,1500000.0
625,شرق الرياض,جنوبية شرقية,35.0,35,0,0,0,0,0,0,0,0,1150000.0
364,شمال الرياض,جنوبية غربية,20.0,14,1,1,1,1,0,0,0,0,3000000.0
700,شرق الرياض,جنوبية,20.0,0,1,1,1,1,0,0,0,0,2800000.0
700,شمال الرياض,شمالية شرقية,25.0,0,1,0,1,1,1,0,1,0,8200000.0
390,شمال الرياض,غربية,15.0,0,1,0,1,1,1,0,1,0,3100000.0
300,جنوب الرياض,شرقية,20.0,0,0,1,1,1,0,0,0,0,1050000.0
300,شرق الرياض,شمالية غربية,20.0,0,0,1,1,0,1,0,0,0,1400000.0
600,شمال الرياض,غربية,25.0,0,1,0,1,1,1,0,1,0,5400000.0
200,غرب الرياض,غربية,20.0,0,0,1,1,1,0,0,0,0,1030000.0
280,جنوب الرياض,شمالية,18.0,0,1,1,1,1,0,0,0,0,900000.0
280,جنوب الرياض,غربية,20.0,0,0,1,1,0,0,0,0,0,900000.0
225,جنوب الرياض,شرقية,28.0,0,0,1,1,1,0,0,0,0,850000.0
300,غرب الرياض,شرقية,15.0,0,0,1,1,1,0,0,0,0,1300000.0
1800,شمال الرياض,ثلاث شوارع,61.0,15,1,1,1,1,1,1,1,1,22000000.0
600,شمال الرياض,جنوبية,15.0,0,1,0,1,1,1,0,1,0,5800000.0
700,شمال الرياض,شرقية,20.0,0,1,0,1,1,1,0,1,0,7500000.0
600,شمال الرياض,شمالية,27.0,0,1,1,1,1,1,0,1,0,6800000.0
300,جنوب الرياض,شمالية,16.0,0,0,1,1,1,0,0,0,0,900000.0
818,شمال الرياض,جنوبية غربية,20.0,0,1,0,1,1,1,0,1,0,10000000.0
375,غرب الرياض,جنوبية,20.0,0,0,1,1,1,0,1,0,0,1550000.0
540,شرق الرياض,غربية,20.0,0,0,1,1,0,0,0,0,0,2300000.0
300,شرق الرياض,شرقية,22.0,0,0,1,1,0,0,0,0,0,1500000.0
238,جنوب الرياض,شرقية,20.0,0,0,0,0,0,0,0,0,0,850000.0
264,جنوب الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,1050000.0
360,جنوب الرياض,شرقية,35.0,0,0,0,0,0,0,0,0,0,790000.0
312,شرق الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,1750000.0
600,شمال الرياض,غربية,25.0,0,1,0,1,1,1,0,1,0,7300000.0
300,غرب الرياض,غربية,20.0,0,0,1,1,0,0,0,0,0,1150000.0
250,جنوب الرياض,شمالية,15.0,0,0,0,0,0,0,0,0,0,850000.0
300,غرب الرياض,شمالية,20.0,0,0,1,1,1,0,0,0,0,1360000.0
300,غرب الرياض,شرقية,22.0,0,0,1,1,1,0,0,0,0,1200000.0
238,جنوب الرياض,شرقية,20.0,0,0,0,0,0,0,0,0,0,850000.0
300,غرب الرياض,شرقية,25.0,0,0,1,1,1,0,0,0,0,1200000.0
216,غرب الرياض,غربية,20.0,0,0,1,1,1,0,0,0,0,1100000.0
200,غرب الرياض,غربية,20.0,0,0,1,1,1,0,0,0,0,1030000.0
353,شرق الرياض,شرقية,15.0,0,1,0,1,1,0,0,0,0,1700000.0
275,جنوب الرياض,جنوبية,20.0,0,0,1,1,0,0,0,0,0,900000.0
315,جنوب الرياض,شمالية,15.0,0,0,1,1,1,0,0,0,0,1100000.0
420,شمال الرياض,شمالية,25.0,0,1,0,1,1,1,0,1,0,5200000.0
300,شرق الرياض,شرقية,15.0,0,0,1,1,1,1,0,0,0,1400000.0
375,شرق الرياض,غربية,15.0,0,1,0,0,1,1,0,0,0,2000000.0
312,شرق الرياض,جنوبية,15.0,0,1,1,1,1,0,0,0,0,1750000.0
300,جنوب الرياض,شمالية,20.0,0,0,0,0,0,0,0,0,0,800000.0
300,غرب الرياض,شمالية,20.0,0,0,1,1,1,0,0,0,0,1360000.0
300,شرق الرياض,شمالية,18.0,0,1,1,1,1,0,0,0,0,1500000.0
250,غرب الرياض,غربية,21.0,0,0,1,1,1,0,0,0,0,1220000.0
350,غرب الرياض,شمالية,20.0,0,0,1,1,1,0,0,0,0,1150000.0
275,شرق الرياض,شرقية,15.0,0,1,0,1,1,0,0,0,0,1600000.0
260,جنوب الرياض,غربية,15.0,0,1,1,1,1,0,0,0,0,900000.0
313,غرب الرياض,غربية,20.0,0,0,1,1,0,0,0,0,0,1200000.0
300,غرب الرياض,شمالية,20.0,0,0,1,1,1,0,0,0,0,1300000.0
250,شرق الرياض,شرقية,15.0,0,1,1,1,1,0,0,0,0,1100000.0
360,شمال الرياض,شرقية,20.0,0,0,0,1,1,0,0,0,0,1700000.0
353,شرق الرياض,شرقية,15.0,0,1,0,1,1,0,0,0,0,1700000.0
375,شرق الرياض,غربية,15.0,0,1,0,0,1,1,0,0,0,2000000.0
280,جنوب الرياض,شرقية,15.0,0,0,1,1,1,0,0,0,0,900000.0
200,غرب الرياض,شرقية,21.0,0,0,1,1,1,1,0,0,0,1600000.0
300,شرق الرياض,جنوبية غربية,20.0,0,1,0,1,1,0,0,0,0,1750000.0
300,غرب الرياض,غربية,20.0,0,0,1,1,1,0,0,0,0,1180000.0
250,جنوب الرياض,جنوبية,18.0,0,0,1,1,0,0,0,0,0,850000.0
255,شرق الرياض,جنوبية,15.0,0,0,0,1,1,0,0,0,0,1350000.0
1050,شمال الرياض,شمالية,20.0,2,1,1,1,1,1,1,1,0,12000000.0
262,جنوب الرياض,جنوبية شرقية,15.0,0,0,1,1,0,0,0,0,0,880000.0
818,شمال الرياض,جنوبية غربية,20.0,0,1,0,1,1,1,0,1,0,10000000.0
450,غرب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,1400000.0
450,غرب الرياض,شرقية,20.0,0,0,1,1,1,0,1,0,0,1300000.0
270,جنوب الرياض,جنوبية,20.0,0,0,0,0,0,0,0,0,0,970000.0
500,شمال الرياض,جنوبية,20.0,0,1,0,1,1,1,0,1,0,7000000.0
375,غرب الرياض,غربية,20.0,0,0,1,1,1,1,0,0,0,1600000.0
300,شرق الرياض,شرقية,20.0,0,0,1,1,1,0,0,0,0,1350000.0
300,شرق الرياض,شمالية,18.0,0,1,1,1,1,0,0,0,0,1500000.0
244,شرق الرياض,جنوبية,20.0,0,0,1,1,0,0,0,0,0,1350000.0
300,غرب الرياض,شمالية,16.0,0,0,1,1,1,0,0,0,0,1200000.0
375,غرب الرياض,شرقية,20.0,0,1,1,1,1,0,0,0,0,1650000.0
350,شرق الرياض,شمالية,20.0,5,1,1,1,1,0,1,0,0,1700000.0
250,جنوب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,850000.0
312,شرق الرياض,شمالية,18.0,0,0,1,1,0,0,0,0,0,1250000.0
275,جنوب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,900000.0
218,جنوب الرياض,جنوبية,20.0,0,0,0,0,0,0,0,0,0,1170000.0
250,جنوب الرياض,شرقية,20.0,0,0,0,0,0,0,0,0,0,1020000.0
240,شرق الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,1400000.0
420,جنوب الرياض,شرقية,20.0,0,0,0,0,0,0,0,0,0,1000000.0
260,جنوب الرياض,شمالية غربية,5.0,0,0,0,0,0,0,0,0,0,900000.0
240,شرق الرياض,جنوبية,15.0,0,0,0,1,1,0,0,0,0,1170000.0
300,جنوب الرياض,شمالية,20.0,0,0,0,0,0,0,0,0,0,900000.0
250,جنوب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,850000.0
300,شرق الرياض,جنوبية غربية,20.0,0,1,0,1,1,0,0,0,0,1750000.0
375,غرب الرياض,شرقية,20.0,0,0,1,1,1,1,0,0,0,3500000.0
400,شرق الرياض,شرقية,15.0,12,1,0,1,0,0,1,0,0,2000000.0
426,جنوب الرياض,جنوبية غربية,21.0,0,0,0,0,0,0,0,0,0,1080000.0
313,غرب الرياض,شمالية,15.0,0,0,0,0,0,0,0,0,0,710000.0
360,غرب الرياض,شمالية,20.0,0,0,1,1,1,0,1,0,0,1550000.0
300,غرب الرياض,شمالية,15.0,0,0,1,1,1,0,0,0,0,1200000.0
300,غرب الرياض,شمالية,20.0,0,0,1,1,1,0,0,1,0,1400000.0
1012,شمال الرياض,شمالية غربية,15.0,6,1,0,1,1,1,0,1,1,7000000.0
264,جنوب الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,1050000.0
250,جنوب الرياض,غربية,20.0,0,0,0,0,0,0,0,0,0,680000.0
244,شرق الرياض,جنوبية,20.0,0,0,0,0,0,0,0,0,0,1350000.0
300,شمال الرياض,جنوبية,15.0,0,1,0,1,1,1,0,1,0,3800000.0
540,شرق الرياض,غربية,20.0,0,0,1,1,0,0,0,0,0,2300000.0
300,جنوب الرياض,شمالية,20.0,0,0,0,0,0,0,0,0,0,800000.0
255,غرب الرياض,جنوبية غربية,20.0,0,0,1,0,0,0,0,0,0,700000.0
290,غرب الرياض,شرقية,20.0,0,0,1,1,1,0,0,0,0,1350000.0
300,شرق الرياض,غربية,18.0,0,0,1,1,0,0,0,0,0,1300000.0
200,غرب الرياض,شمالية,15.0,0,0,1,1,1,0,0,0,0,950000.0
218,جنوب الرياض,جنوبية,20.0,0,0,0,0,0,0,0,0,0,1170000.0
375,غرب الرياض,شرقية,20.0,0,0,1,1,1,1,0,0,0,3500000.0
375,جنوب الرياض,جنوبية,18.0,0,0,0,0,0,0,0,0,0,660000.0
300,شرق الرياض,شمالية,15.0,0,0,1,1,1,0,0,0,0,1250000.0
730,شمال الرياض,شمالية,20.0,0,1,0,1,1,1,1,0,1,7500000.0
252,جنوب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,950000.0
307,شرق الرياض,شرقية,20.0,0,0,1,1,1,1,0,0,0,1600000.0
265,غرب الرياض,شمالية,20.0,0,0,0,0,0,0,0,0,0,1050000.0
315,غرب الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,1400000.0
585,شرق الرياض,جنوبية,18.0,2,1,0,1,1,1,0,0,0,3000000.0
1000,شمال الرياض,شمالية شرقية,25.0,0,1,0,1,1,1,0,1,0,15000000.0
240,شرق الرياض,شمالية,15.0,0,0,0,1,1,0,0,0,0,1170000.0
300,غرب الرياض,جنوبية,15.0,0,0,1,1,1,0,0,1,0,1250000.0
450,غرب الرياض,شرقية,20.0,0,0,1,1,1,0,1,0,0,1300000.0
250,جنوب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,1100000.0
375,غرب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,1200000.0
360,غرب الرياض,جنوبية,20.0,0,0,1,0,1,0,0,0,0,1500000.0
360,جنوب الرياض,شرقية,29.0,0,0,0,1,0,0,0,0,0,790000.0
600,شمال الرياض,غربية,25.0,0,1,0,1,1,1,0,1,0,7300000.0
214,جنوب الرياض,شرقية,20.0,0,0,1,1,1,0,0,0,0,790000.0
270,جنوب الرياض,جنوبية,20.0,0,0,0,0,0,0,0,0,0,970000.0
875,شرق الرياض,جنوبية,15.0,12,1,1,1,1,0,0,0,0,1800050.0
450,شرق الرياض,جنوبية شرقية,20.0,4,1,1,1,1,1,1,0,0,3500000.0
375,جنوب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,1164000.0
300,جنوب الرياض,شرقية,20.0,0,0,1,1,1,0,0,0,0,1050000.0
