نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,سكني,الرياض, ضاحية نمار ,شمالية,360.0,5900.0,2124000.0
أرض,سكني,الرياض, حي العارض ,شمالية,336.0,4500.0,1512000.0
أرض,سكني,الرياض, حي البيان ,جنوبية,273.0,2570.0,701610.0
أرض,سكني,الرياض, حي العارض ,جنوبية,336.0,4500.0,1512000.0
أرض,سكني,الرياض, حي البيان ,جنوبية,273.0,2500.0,682500.0
أرض,سكني,الرياض, حي النظيم ,جنوبية,833.0,1570.0,1307810.0
أرض,سكني,الرياض, حي طيبة ,شرقية,295.0,1300.0,383500.0
أرض,سكني,الرياض, حي ظهرة لبن ,شرقية,360.0,2800.0,1008000.0
أرض,سكني,الرياض, حي المهدية ,شمالية,299.0,3330.0,995670.0
أرض,سكني,الرياض, حي طيبة ,شرقية,8664.0,1100.0,9530400.0
أرض,سكني,الرياض, حي ظهرة لبن ,شرقية,8664.0,1100.0,9530400.0
أرض,سكني,الرياض, حي الروضة ,شمالية غربية,750.0,4200.0,3150000.0
أرض,سكني,الرياض, حي الروضة ,غربية,900.0,444.0,399600.0
أرض,سكني,الرياض, حي المهدية ,شمالية,456.0,2446.0,1115376.0
أرض,سكني,الرياض, العيينة ,شمالية شرقية,500.0,2446.0,1223000.0
أرض,سكني,الرياض, حي الخليج ,شمالية شرقية,648.0,2446.0,1585008.0
أرض,سكني,الرياض, حي العارض ,شمالية,300.0,4100.0,1230000.0
أرض,سكني,الرياض, حي الخليج ,شمالية شرقية,648.0,4100.0,2656800.0
أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية,606.0,1700.0,1030200.0
أرض,سكني,الرياض, حي العوالي ,جنوبية,660.0,1700.0,1122000.0
أرض,سكني,الرياض, حي النرجس ,جنوبية,360.0,5000.0,1800000.0
أرض,سكني,الرياض, حي النرجس ,شرقية,375.0,1358.0,509250.0
أرض,سكني,الرياض, حي النرجس ,ثلاث شوارع,4510.0,6500.0,29315000.0
أرض,سكني,الرياض, حي النرجس ,شمالية,2800.0,6500.0,18200000.0
أرض,سكني,الرياض, حي الخير ,شرقية,800.0,2750.0,2200000.0
أرض,سكني,الرياض, حي الخير ,جنوبية,800.0,1812.0,1449600.0
أرض,سكني,الرياض, حي الخليج ,شمالية شرقية,648.0,3500.0,2268000.0
أرض,سكني,الرياض, حي المهدية ,شمالية,405.0,3500.0,1417500.0
أرض,سكني,الرياض, حي الخير ,شرقية,750.0,1450.0,1087500.0
أرض,سكني,الرياض, حي عريض ,جنوبية,405.0,1000.0,405000.0
أرض,سكني,الرياض, حي المهدية ,جنوبية,450.0,1822.0,819900.0
أرض,سكني,الرياض, ,شمالية,343.0,2871.0,984753.0
أرض,سكني,الرياض, حي الصحافة ,شمالية,343.0,2871.0,984753.0
أرض,سكني,الرياض, حي اشبيلية ,جنوبية شرقية,4733.0,4500.0,21298500.0
أرض,سكني,الرياض, حي المهدية ,شمالية,456.0,4500.0,2052000.0
أرض,سكني,الرياض, حي المهدية ,شرقية,375.0,2000.0,750000.0
أرض,سكني,الرياض, حي الفلاح ,غربية,800.0,6500.0,5200000.0
أرض,سكني,الرياض, حي المحمدية ,جنوبية,360.0,7900.0,2844000.0
أرض,تجاري وسكني,الرياض, حي العزيزية ,غربية,720.0,2153.0,1550160.0
أرض,تجاري وسكني,الرياض, حي الدفاع ,جنوبية شرقية,1225.0,2000.0,2450000.0
أرض,تجاري وسكني,الرياض, حي بدر ,جنوبية غربية,874.0,2000.0,1748000.0
أرض,تجاري وسكني,الرياض, حي النرجس ,جنوبية,375.0,2000.0,750000.0
أرض,تجاري وسكني,الرياض, حي الجنادرية ,جنوبية,375.0,2000.0,750000.0
أرض,تجاري وسكني,الرياض, حي الجنادرية ,شمالية,299.0,2000.0,598000.0
أرض,تجاري وسكني,الرياض, ضاحية نمار ,شمالية شرقية,375.0,1200.0,450000.0
أرض,تجاري وسكني,الرياض, حي اليرموك ,جنوبية,1089.0,1200.0,1306800.0
أرض,تجاري وسكني,الرياض, حي الزهراء ,شمالية,400.0,7500.0,3000000.0
أرض,تجاري وسكني,الرياض, حي المهدية ,جنوبية,450.0,2990.0,1345500.0
أرض,تجاري وسكني,الرياض, حي الملقا ,جنوبية غربية,570.0,7500.0,4275000.0
أرض,تجاري وسكني,الرياض, حي النرجس ,شرقية,318.0,4875.0,1550250.0
أرض,تجاري وسكني,الرياض, حي عكاظ ,شمالية,794.0,4875.0,3870750.0
أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,غربية,450.0,4875.0,2193750.0
أرض,تجاري وسكني,الرياض, حي المصيف ,غربية,675.0,4300.0,2902500.0
أرض,تجاري وسكني,الرياض, حي المصفاة ,جنوبية شرقية,420.0,4300.0,1806000.0
أرض,تجاري وسكني,الرياض, حي عريض ,شرقية,500.0,800.0,400000.0
أرض,تجاري وسكني,الرياض, حي عريض ,غربية,600.0,800.0,480000.0
أرض,تجاري وسكني,الرياض, حي عريض ,غربية,500.0,1000.0,500000.0
أرض,تجاري وسكني,الرياض, حي عريض ,شمالية,2205.0,1150.0,2535750.0
أرض,سكني,الرياض, حي المهدية ,ثلاث شوارع,450.0,3130.0,1408500.0
أرض,سكني,الرياض, حي المهدية ,جنوبية,2000.0,525.0,1050000.0
أرض,تجاري وسكني,الرياض, حي القيروان ,ثلاث شوارع,880.0,7000.0,6160000.0
أرض,سكني,الرياض, حي الوادي ,جنوبية غربية,270.0,6000.0,1620000.0
أرض,سكني,الرياض, حي عريض ,شمالية غربية,432.0,6000.0,2592000.0
أرض,تجاري وسكني,الرياض, حي بدر ,جنوبية,960.0,1700.0,1632000.0
أرض,تجاري وسكني,الرياض, حي الغنامية ,شرقية,160.0,625.0,100000.0
أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية,450.0,625.0,281250.0
أرض,تجاري وسكني,الرياض, طريق النفود ,شمالية,400.0,625.0,250000.0
أرض,تجاري وسكني,الرياض, حي المهدية ,ثلاث شوارع,450.0,3000.0,1350000.0
أرض,تجاري وسكني,الرياض, حي عرقة ,شمالية شرقية,750.0,3000.0,2250000.0
أرض,تجاري وسكني,الرياض, حي البرية ,شمالية,630.0,3000.0,1890000.0
أرض,تجاري وسكني,الرياض, حي حطين ,شمالية,450.0,6500.0,2925000.0
أرض,تجاري وسكني,الرياض, حي الدار البيضاء ,جنوبية شرقية,500.0,1340.0,670000.0
أرض,تجاري وسكني,الرياض, حي النرجس ,شمالية غربية,288.0,1340.0,385920.0
أرض,تجاري وسكني,الرياض, حي النرجس ,جنوبية,1050.0,1829.0,1920450.0
أرض,تجاري وسكني,الرياض, حي النرجس ,جنوبية,480.0,4800.0,2304000.0
أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية شرقية,915.0,2732.0,2499780.0
أرض,سكني,الرياض, حي النرجس ,شمالية,800.0,5000.0,4000000.0
أرض,سكني,الرياض, حي ضاحية نمار ,شمالية,437.0,1300.0,568100.0
أرض,سكني,الرياض, حي المهدية ,شمالية,450.0,2444.0,1099800.0
أرض,سكني,الرياض, حي المهدية ,غربية,399.0,5850.0,2334150.0
أرض,سكني,الرياض, حي المهدية ,شمالية,745.0,510.0,379950.0
أرض,سكني,الرياض, حي الرمال ,جنوبية,782.0,1600.0,1251200.0
أرض,سكني,الرياض, حي الشفا ,جنوبية,375.0,801.0,300375.0
أرض,سكني,الرياض, حي البيان ,جنوبية,1213.0,801.0,971613.0
أرض,سكني,الرياض, حي الجنادرية ,جنوبية,3260.0,3000.0,9780000.0
أرض,سكني,الرياض, حي النرجس ,جنوبية,875.0,6175.0,5403125.0
أرض,سكني,الرياض, حي النرجس ,جنوبية شرقية,333.0,6500.0,2164500.0
أرض,سكني,الرياض, حي اليرموك ,شرقية,1116.0,1880.0,2098080.0
أرض,سكني,الرياض, حي اليرموك ,شمالية,600.0,2416.0,1449600.0
أرض,سكني,الرياض, حي اليرموك ,شرقية,375.0,4500.0,1687500.0
أرض,سكني,الرياض, حي ضاحية نمار ,شمالية,300.0,4500.0,1350000.0
أرض,سكني,الرياض, حي المهدية ,جنوبية,403.0,4500.0,1813500.0
أرض,سكني,الرياض, حي المهدية ,شمالية,900.0,4000.0,3600000.0
أرض,سكني,الرياض, حي العليا ,غربية,250.0,5000.0,1250000.0
أرض,سكني,الرياض, حي العليا ,جنوبية,900.0,5000.0,4500000.0
أرض,سكني,الرياض, حي غرناطة ,شرقية,700.0,5000.0,3500000.0
أرض,سكني,الرياض, حي النخيل ,جنوبية,900.0,13333.0,11999700.0
أرض,سكني,الرياض, حي القيروان ,جنوبية,599.0,6011.0,3600589.0
أرض,سكني,الرياض, حي ضاحية نمار ,غربية,375.0,1800.0,675000.0
أرض,سكني,الرياض, حي اليرموك ,شرقية,750.0,3450.0,2587500.0
أرض,سكني,الرياض, حي طويق ,جنوبية,375.0,2255.0,845625.0
أرض,سكني,الرياض, حي نمار,شمالية,300.0,1450.0,435000.0
أرض,سكني,الرياض, حي نمار,جنوبية,623.0,1450.0,903350.0
أرض,سكني,الرياض, حي السعادة ,جنوبية,623.0,1450.0,903350.0
أرض,سكني,الرياض, حي السعادة ,جنوبية غربية,719.0,2000.0,1438000.0
أرض,سكني,الرياض, حي السعادة ,جنوبية شرقية,670.0,4800.0,3216000.0
أرض,سكني,الرياض, حي المهدية ,جنوبية,392.0,1400.0,548800.0
أرض,سكني,الرياض, حي القادسية ,جنوبية,392.0,1400.0,548800.0
أرض,سكني,الرياض, حي حطين ,غربية,525.0,11000.0,5775000.0
أرض,سكني,الرياض, ,شمالية,1440.0,2450.0,3528000.0
أرض,سكني,الرياض, حي الرمال ,جنوبية,924.0,3750.0,3465000.0
أرض,سكني,الرياض, حي الخير ,شرقية,4697.0,2880.0,13527360.0
أرض,سكني,الرياض, المغرفية ,شمالية,10500.0,2880.0,30240000.0
أرض,سكني,الرياض, حي الغنامية ,غربية,200.0,750.0,150000.0
أرض,سكني,الرياض, حي حطين ,شمالية شرقية,1050.0,8572.0,9000600.0
أرض,سكني,الرياض, حي الروضة ,غربية,751.0,4000.0,3004000.0
أرض,سكني,الرياض, حي الخير ,شرقية,375.0,4000.0,1500000.0
أرض,سكني,الرياض, حي عليشة ,جنوبية,232.0,4000.0,928000.0
أرض,سكني,الرياض, حي العوالي ,شمالية,500.0,4000.0,2000000.0
أرض,سكني,الرياض, حي المرسلات ,جنوبية,400.0,1100.0,440000.0
أرض,سكني,الرياض, العيينة ,شمالية,630.0,1270.0,800100.0
أرض,سكني,الرياض, العيينة ,شرقية,432.0,1350.0,583200.0
أرض,سكني,الرياض, حي حطين ,شمالية,615.0,7317.0,4499955.0
أرض,سكني,الرياض, حي الريان ,جنوبية شرقية,780.0,6000.0,4680000.0
أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية,900.0,466.0,419400.0
أرض,سكني,الرياض, حي العليا ,جنوبية شرقية,580.0,466.0,270280.0
أرض,سكني,الرياض, حي البرية ,غربية,378.0,1000.0,378000.0
أرض,سكني,الرياض, حي الخير ,شرقية,750.0,1500.0,1125000.0
أرض,سكني,الرياض, حي المروة ,غربية,1210.0,1500.0,1815000.0
أرض,سكني,الرياض, حي بدر ,شمالية,15730.0,1400.0,22022000.0
أرض,سكني,الرياض, حي بدر ,شرقية,809.0,1400.0,1132600.0
أرض,سكني,الرياض, حي المصفاة ,شمالية شرقية,400.0,900.0,360000.0
أرض,سكني,الرياض, حي الضباط ,شمالية,450.0,3000.0,1350000.0
أرض,سكني,الرياض, حي الضباط ,جنوبية شرقية,3500.0,7000.0,24500000.0
أرض,سكني,الرياض, حي الحزم ,جنوبية,312.0,442.0,137904.0
أرض,سكني,الرياض, حي المهدية ,جنوبية غربية,1639.0,442.0,724438.0
أرض,سكني,الرياض, حي السلام ,غربية,375.0,4000.0,1500000.0
أرض,سكني,الرياض, حي الحائر ,شمالية شرقية,8464.0,4000.0,33856000.0
أرض,سكني,الرياض, حي عريض ,شمالية غربية,625.0,4000.0,2500000.0
أرض,سكني,الرياض, حي النرجس ,شمالية,435.0,5150.0,2240250.0
أرض,سكني,الرياض, حي طويق ,شمالية,900.0,5150.0,4635000.0
أرض,سكني,الرياض, حي المنصورية ,جنوبية غربية,9600.0,5150.0,49440000.0
أرض,سكني,الرياض, حي الروضة ,جنوبية,627.0,4200.0,2633400.0
أرض,سكني,الرياض, حي المرسلات ,شمالية غربية,625.0,5500.0,3437500.0
أرض,سكني,الرياض, حي الرحمانية ,شمالية غربية,580.0,6000.0,3480000.0
أرض,سكني,الرياض, حي المهدية ,شمالية,400.0,3000.0,1200000.0
أرض,سكني,الرياض, حي الرمال ,شمالية,36.0,2600.0,93600.0
أرض,تجاري وسكني,الرياض, حي المهدية ,جنوبية,400.0,3125.0,1250000.0
أرض,تجاري وسكني,الرياض, حي الدار البيضاء ,شرقية,800.0,1300.0,1040000.0
أرض,تجاري وسكني,الرياض, حي عكاظ ,غربية,437.0,5200.0,2272400.0
أرض,تجاري وسكني,الرياض, حي عكاظ ,شمالية غربية,2400.0,5200.0,12480000.0
أرض,تجاري وسكني,الرياض, حي النرجس ,شمالية,351.0,4800.0,1684800.0
أرض,تجاري وسكني,الرياض, حي نمار ,جنوبية غربية,1200.0,6500.0,7800000.0
أرض,تجاري وسكني,الرياض, حي الرمال ,جنوبية غربية,1200.0,6500.0,7800000.0
أرض,سكني,الرياض, حي النرجس ,جنوبية,450.0,1700.0,765000.0
